計算,名稱,"位置 X","位置 Y",內容,"文字位置 X","文字位置 Y","中心 X","中心 Y","開始 X","開始 Y","終結 X","終結 Y"
1,圓,,,,,,-263299.7651,-202880.491,,,,
1,圓,,,,,,-263299.7651,-202280.491,,,,
1,圓,,,,,,-263549.7651,-202880.491,,,,
1,圓,,,,,,-263549.7651,-202280.491,,,,
1,HH3,-263949.7651,-202130.491,,,,,,,,,
1,HH3,-263549.7651,-202880.491,,,,,,,,,
1,HH3,-263549.7651,-202280.491,,,,,,,,,
1,HH3,-263299.7651,-202880.491,,,,,,,,,
1,HH3,-263299.7651,-201630.491,,,,,,,,,
1,HH3,-263299.7651,-202280.491,,,,,,,,,
1,HH3,-263949.7651,-202760.491,,,,,,,,,
1,HH3,-263949.7651,-201630.491,,,,,,,,,
1,多行文字,-263449.467,-203566.8957,135,,,,,,,,
1,多行文字,-263449.467,-203236.8957,112,,,,,,,,
1,多行文字,-263199.467,-204166.8957,157,,,,,,,,
1,多行文字,-263199.467,-203566.8957,136,,,,,,,,
1,多行文字,-263199.467,-203236.8957,113,,,,,,,,
1,圓,,,,,,-263299.7651,-203350.491,,,,
1,圓,,,,,,-263299.7651,-203680.491,,,,
1,圓,,,,,,-263549.7651,-203350.491,,,,
1,圓,,,,,,-263549.7651,-203680.491,,,,
1,HH3,-263549.7651,-203680.491,,,,,,,,,
1,HH3,-263549.7651,-203350.491,,,,,,,,,
1,HH3,-263299.7651,-204280.491,,,,,,,,,
1,HH3,-263299.7651,-203680.491,,,,,,,,,
1,HH3,-263299.7651,-203350.491,,,,,,,,,
1,多行文字,-263849.467,-204166.8957,156,,,,,,,,
1,多行文字,-263849.467,-203566.8957,134,,,,,,,,
1,多行文字,-263849.467,-203116.8957,111,,,,,,,,
1,圓,,,,,,-263949.7651,-203680.491,,,,
1,圓,,,,,,-263949.7651,-203230.491,,,,
1,HH3,-263949.7651,-204280.491,,,,,,,,,
1,HH3,-263949.7651,-203680.491,,,,,,,,,
1,HH3,-263949.7651,-203230.491,,,,,,,,,
1,多行文字,-262719.467,-205446.8957,217,,,,,,,,
1,多行文字,-262719.467,-204846.8957,195,,,,,,,,
1,多行文字,-262719.467,-204616.8957,174,,,,,,,,
1,文字,-261951.1992,-205575.3803,R-Y9,,,,,,,,
1,文字,-261951.1992,-204975.3803,R-Y8,,,,,,,,
1,文字,-261951.1992,-204625.3803,R-Y7,,,,,,,,
1,遮蔽,-261961.8515,-205013.6788,,,,,,,,,
1,遮蔽,-261961.8515,-204663.6788,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-262055.1789,-204785.491,,,,,,
1,旋轉標註,,,,-262055.1664,-205260.491,,,,,,
1,HH3,-262819.7651,-205560.491,,,,,,,,,
1,HH3,-262819.7651,-204960.491,,,,,,,,,
1,HH3,-262819.7651,-204730.491,,,,,,,,,
1,多行文字,-262719.467,-206346.8957,253,,,,,,,,
1,多行文字,-262719.467,-206026.8957,235,,,,,,,,
1,文字,-261961.8069,-206475.3803,R-Y11,,,,,,,,
1,文字,-261961.8069,-206155.3803,R-Y10,,,,,,,,
1,聚合線,,,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-262055.1789,-206300.491,,,,,,
1,圓,,,,,,-262819.7651,-206460.491,,,,
1,圓,,,,,,-262819.7651,-206140.491,,,,
1,HH3,-262819.7651,-206460.491,,,,,,,,,
1,HH3,-262819.7651,-206140.491,,,,,,,,,
1,旋轉標註,,,,-262055.1664,-205850.491,,,,,,
1,多行文字,-263199.467,-205446.8957,216,,,,,,,,
1,多行文字,-263849.467,-205446.8957,215,,,,,,,,
1,多行文字,-263199.467,-204846.8957,194,,,,,,,,
1,多行文字,-263849.467,-204846.8957,193,,,,,,,,
1,多行文字,-263199.467,-204496.8957,173,,,,,,,,
1,多行文字,-263849.467,-204496.8957,172,,,,,,,,
1,圓,,,,,,-263949.7651,-205560.491,,,,
1,圓,,,,,,-263949.7651,-204960.491,,,,
1,圓,,,,,,-263949.7651,-204610.491,,,,
1,HH3,-263299.7651,-205560.491,,,,,,,,,
1,HH3,-263949.7651,-205560.491,,,,,,,,,
1,HH3,-263299.7651,-204960.491,,,,,,,,,
1,HH3,-263949.7651,-204960.491,,,,,,,,,
1,HH3,-263299.7651,-204610.491,,,,,,,,,
1,HH3,-263949.7651,-204610.491,,,,,,,,,
1,多行文字,-263499.467,-206346.8957,251,,,,,,,,
1,多行文字,-263499.467,-206026.8957,233,,,,,,,,
1,多行文字,-263199.467,-206346.8957,252,,,,,,,,
1,多行文字,-263849.467,-206346.8957,250,,,,,,,,
1,多行文字,-263199.467,-206026.8957,234,,,,,,,,
1,多行文字,-263849.467,-206026.8957,232,,,,,,,,
1,圓,,,,,,-263299.7651,-206460.491,,,,
1,圓,,,,,,-263599.7651,-206460.491,,,,
1,圓,,,,,,-263949.7651,-206460.491,,,,
1,圓,,,,,,-263299.7651,-206140.491,,,,
1,圓,,,,,,-263599.7651,-206140.491,,,,
1,圓,,,,,,-263949.7651,-206140.491,,,,
1,HH3,-263599.7651,-206460.491,,,,,,,,,
1,HH3,-263599.7651,-206140.491,,,,,,,,,
1,HH3,-263299.7651,-206460.491,,,,,,,,,
1,HH3,-263949.7651,-206460.491,,,,,,,,,
1,HH3,-263299.7651,-206140.491,,,,,,,,,
1,HH3,-263949.7651,-206140.491,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-262055.1789,-204445.491,,,,,,
1,圓,,,,,,-263949.7651,-204280.491,,,,
1,多行文字,-264449.467,-202646.8957,87,,,,,,,,
1,多行文字,-264449.467,-202166.8957,53,,,,,,,,
1,圓,,,,,,-264549.7651,-202760.491,,,,
1,圓,,,,,,-264549.7651,-202280.491,,,,
1,HH3,-264549.7651,-202760.491,,,,,,,,,
1,HH3,-264549.7651,-201630.491,,,,,,,,,
1,HH3,-264549.7651,-202280.491,,,,,,,,,
1,多行文字,-265299.467,-202766.8957,85,,,,,,,,
1,多行文字,-265299.467,-202166.8957,51,,,,,,,,
1,多行文字,-265669.467,-202766.8957,84,,,,,,,,
1,多行文字,-265669.467,-202166.8957,50,,,,,,,,
1,圓,,,,,,-265119.7651,-202880.491,,,,
1,圓,,,,,,-265119.7651,-202280.491,,,,
1,圓,,,,,,-265399.7651,-202880.491,,,,
1,圓,,,,,,-265399.7651,-202280.491,,,,
1,HH3,-265399.7651,-202880.491,,,,,,,,,
1,HH3,-265399.7651,-202280.491,,,,,,,,,
1,HH3,-265119.7651,-202880.491,,,,,,,,,
1,HH3,-265119.7651,-201810.491,,,,,,,,,
1,HH3,-265119.7651,-202280.491,,,,,,,,,
1,多行文字,-265019.467,-202766.8957,86,,,,,,,,
1,多行文字,-265019.467,-201696.8957,23,,,,,,,,
1,多行文字,-265019.467,-202166.8957,52,,,,,,,,
1,多行文字,-265299.467,-203566.8957,131,,,,,,,,
1,多行文字,-265299.467,-203236.8957,108,,,,,,,,
1,多行文字,-265019.467,-204166.8957,154,,,,,,,,
1,多行文字,-265019.467,-203566.8957,132,,,,,,,,
1,多行文字,-265019.467,-203236.8957,109,,,,,,,,
1,圓,,,,,,-265399.7651,-203350.491,,,,
1,圓,,,,,,-265399.7651,-203680.491,,,,
1,圓,,,,,,-265119.7651,-203350.491,,,,
1,圓,,,,,,-265119.7651,-203680.491,,,,
1,圓,,,,,,-264549.7651,-203680.491,,,,
1,圓,,,,,,-264549.7651,-203230.491,,,,
1,HH3,-265399.7651,-203680.491,,,,,,,,,
1,HH3,-265399.7651,-203350.491,,,,,,,,,
1,HH3,-264549.7651,-204280.491,,,,,,,,,
1,HH3,-265119.7651,-204280.491,,,,,,,,,
1,HH3,-264549.7651,-203680.491,,,,,,,,,
1,HH3,-265119.7651,-203680.491,,,,,,,,,
1,HH3,-264549.7651,-203230.491,,,,,,,,,
1,HH3,-265119.7651,-203350.491,,,,,,,,,
1,多行文字,-266209.467,-202766.8957,83,,,,,,,,
1,多行文字,-266209.467,-202166.8957,49,,,,,,,,
1,多行文字,-266709.467,-202766.8957,82,,,,,,,,
1,多行文字,-266709.467,-202166.8957,48,,,,,,,,
1,圓,,,,,,-266309.7651,-202880.491,,,,
1,圓,,,,,,-266309.7651,-202280.491,,,,
1,圓,,,,,,-266809.7651,-202880.491,,,,
1,圓,,,,,,-266809.7651,-202280.491,,,,
1,HH3,-265769.7651,-202880.491,,,,,,,,,
1,HH3,-265769.7651,-201630.491,,,,,,,,,
1,HH3,-265769.7651,-202280.491,,,,,,,,,
1,HH3,-266309.7651,-202880.491,,,,,,,,,
1,HH3,-266309.7651,-201630.491,,,,,,,,,
1,HH3,-266309.7651,-202280.491,,,,,,,,,
1,HH3,-266809.7651,-202880.491,,,,,,,,,
1,HH3,-266809.7651,-201630.491,,,,,,,,,
1,HH3,-266809.7651,-202280.491,,,,,,,,,
1,多行文字,-266209.467,-204166.8957,152,,,,,,,,
1,多行文字,-266709.467,-204166.8957,151,,,,,,,,
1,多行文字,-266209.467,-203566.8957,129,,,,,,,,
1,多行文字,-266709.467,-203566.8957,128,,,,,,,,
1,多行文字,-266209.467,-203236.8957,106,,,,,,,,
1,多行文字,-266709.467,-203236.8957,105,,,,,,,,
1,圓,,,,,,-266809.7651,-203350.491,,,,
1,圓,,,,,,-266809.7651,-203680.491,,,,
1,圓,,,,,,-266309.7651,-203350.491,,,,
1,圓,,,,,,-266309.7651,-203680.491,,,,
1,HH3,-265769.7651,-204280.491,,,,,,,,,
1,HH3,-266309.7651,-204280.491,,,,,,,,,
1,HH3,-266809.7651,-204280.491,,,,,,,,,
1,HH3,-265769.7651,-203680.491,,,,,,,,,
1,HH3,-266309.7651,-203680.491,,,,,,,,,
1,HH3,-266809.7651,-203680.491,,,,,,,,,
1,HH3,-265769.7651,-203350.491,,,,,,,,,
1,HH3,-266309.7651,-203350.491,,,,,,,,,
1,HH3,-266809.7651,-203350.491,,,,,,,,,
1,多行文字,-265669.467,-204166.8957,153,,,,,,,,
1,多行文字,-265669.467,-203566.8957,130,,,,,,,,
1,多行文字,-265669.467,-203236.8957,107,,,,,,,,
1,圓,,,,,,-265769.7651,-203350.491,,,,
1,圓,,,,,,-265769.7651,-203680.491,,,,
1,圓,,,,,,-265769.7651,-202880.491,,,,
1,圓,,,,,,-265769.7651,-202280.491,,,,
1,多行文字,-265299.467,-205446.8957,212,,,,,,,,
1,多行文字,-264899.467,-205446.8957,213,,,,,,,,
1,多行文字,-265019.467,-204846.8957,191,,,,,,,,
1,多行文字,-265019.467,-204496.8957,170,,,,,,,,
1,圓,,,,,,-264549.7651,-205560.491,,,,
1,圓,,,,,,-264549.7651,-204960.491,,,,
1,圓,,,,,,-264549.7651,-204610.491,,,,
1,圓,,,,,,-264999.7651,-205560.491,,,,
1,圓,,,,,,-265119.7651,-204960.491,,,,
1,圓,,,,,,-265119.7651,-204610.491,,,,
1,HH3,-265399.7651,-205560.491,,,,,,,,,
1,HH3,-264549.7651,-205560.491,,,,,,,,,
1,HH3,-264999.7651,-205560.491,,,,,,,,,
1,HH3,-264549.7651,-204960.491,,,,,,,,,
1,HH3,-265119.7651,-204960.491,,,,,,,,,
1,HH3,-264549.7651,-204610.491,,,,,,,,,
1,HH3,-265119.7651,-204610.491,,,,,,,,,
1,多行文字,-265299.467,-206346.8957,247,,,,,,,,
1,多行文字,-264899.467,-206346.8957,248,,,,,,,,
1,多行文字,-265299.467,-206026.8957,229,,,,,,,,
1,多行文字,-264899.467,-206026.8957,230,,,,,,,,
1,圓,,,,,,-264549.7651,-206460.491,,,,
1,圓,,,,,,-264999.7651,-206460.491,,,,
1,圓,,,,,,-265399.7651,-206460.491,,,,
1,圓,,,,,,-265399.7651,-206140.491,,,,
1,圓,,,,,,-264549.7651,-206140.491,,,,
1,圓,,,,,,-264999.7651,-206140.491,,,,
1,HH3,-265399.7651,-206460.491,,,,,,,,,
1,HH3,-264999.7651,-206460.491,,,,,,,,,
1,HH3,-265399.7651,-206140.491,,,,,,,,,
1,HH3,-264549.7651,-206460.491,,,,,,,,,
1,HH3,-264549.7651,-206140.491,,,,,,,,,
1,HH3,-264999.7651,-206140.491,,,,,,,,,
1,多行文字,-266709.467,-205446.8957,209,,,,,,,,
1,多行文字,-266959.467,-205446.8957,208,,,,,,,,
1,多行文字,-266209.467,-205596.8957,210,,,,,,,,
1,多行文字,-266209.467,-204966.8957,189,,,,,,,,
1,多行文字,-266709.467,-204846.8957,188,,,,,,,,
1,多行文字,-266209.467,-204496.8957,168,,,,,,,,
1,多行文字,-266709.467,-204496.8957,167,,,,,,,,
1,HH3,-266809.7651,-205560.491,,,,,,,,,
1,HH3,-267059.7651,-205560.491,,,,,,,,,
1,HH3,-265769.7651,-205080.491,,,,,,,,,
1,HH3,-266309.7651,-205080.491,,,,,,,,,
1,HH3,-266809.7651,-204960.491,,,,,,,,,
1,HH3,-265769.7651,-204610.491,,,,,,,,,
1,HH3,-266309.7651,-204610.491,,,,,,,,,
1,HH3,-266809.7651,-204610.491,,,,,,,,,
1,多行文字,-266709.467,-206346.8957,244,,,,,,,,
1,多行文字,-266709.467,-206026.8957,226,,,,,,,,
1,多行文字,-266209.467,-206346.8957,245,,,,,,,,
1,多行文字,-266209.467,-206026.8957,227,,,,,,,,
1,圓,,,,,,-266309.7651,-206460.491,,,,
1,圓,,,,,,-266309.7651,-206140.491,,,,
1,圓,,,,,,-266809.7651,-206460.491,,,,
1,圓,,,,,,-266809.7651,-206140.491,,,,
1,HH3,-266809.7651,-206460.491,,,,,,,,,
1,HH3,-266809.7651,-206140.491,,,,,,,,,
1,HH3,-265769.7651,-205710.491,,,,,,,,,
1,HH3,-265769.7651,-206460.491,,,,,,,,,
1,HH3,-266309.7651,-206460.491,,,,,,,,,
1,HH3,-265769.7651,-206140.491,,,,,,,,,
1,HH3,-266309.7651,-206140.491,,,,,,,,,
1,HH3,-266309.7651,-205710.491,,,,,,,,,
1,多行文字,-265669.467,-205596.8957,211,,,,,,,,
1,多行文字,-265669.467,-206346.8957,246,,,,,,,,
1,多行文字,-265669.467,-206026.8957,228,,,,,,,,
1,多行文字,-265669.467,-204966.8957,190,,,,,,,,
1,多行文字,-265669.467,-204496.8957,169,,,,,,,,
1,圓,,,,,,-265769.7651,-206460.491,,,,
1,圓,,,,,,-265769.7651,-206140.491,,,,
1,圓,,,,,,-264549.7651,-204280.491,,,,
1,圓,,,,,,-265119.7651,-204280.491,,,,
1,多行文字,-264449.467,-206346.8957,249,,,,,,,,
1,多行文字,-264449.467,-206026.8957,231,,,,,,,,
1,多行文字,-264449.467,-205446.8957,214,,,,,,,,
1,多行文字,-264449.467,-204846.8957,192,,,,,,,,
1,多行文字,-264449.467,-204496.8957,171,,,,,,,,
1,多行文字,-264449.467,-204166.8957,155,,,,,,,,
1,多行文字,-264449.467,-203566.8957,133,,,,,,,,
1,多行文字,-264449.467,-203116.8957,110,,,,,,,,
1,旋轉標註,,,,-262055.1664,-206760.491,,,,,,
1,多行文字,-267309.467,-202766.8957,81,,,,,,,,
1,多行文字,-267309.467,-202166.8957,47,,,,,,,,
1,多行文字,-267569.467,-202766.8957,80,,,,,,,,
1,多行文字,-267569.467,-202166.8957,46,,,,,,,,
1,圓,,,,,,-267409.7651,-202880.491,,,,
1,圓,,,,,,-267409.7651,-202280.491,,,,
1,圓,,,,,,-267669.7651,-202880.491,,,,
1,圓,,,,,,-267669.7651,-202280.491,,,,
1,HH3,-267409.7651,-202880.491,,,,,,,,,
1,HH3,-267409.7651,-201630.491,,,,,,,,,
1,HH3,-267409.7651,-202280.491,,,,,,,,,
1,HH3,-267669.7651,-202880.491,,,,,,,,,
1,HH3,-267669.7651,-201630.491,,,,,,,,,
1,HH3,-267669.7651,-202280.491,,,,,,,,,
1,多行文字,-268169.467,-202766.8957,79,,,,,,,,
1,多行文字,-268169.467,-202166.8957,45,,,,,,,,
1,圓,,,,,,-268269.7651,-202880.491,,,,
1,圓,,,,,,-268269.7651,-202280.491,,,,
1,HH3,-268269.7651,-202880.491,,,,,,,,,
1,HH3,-268269.7651,-201630.491,,,,,,,,,
1,HH3,-268269.7651,-202280.491,,,,,,,,,
1,多行文字,-267309.467,-204166.8957,150,,,,,,,,
1,多行文字,-267569.467,-204166.8957,149,,,,,,,,
1,多行文字,-267309.467,-203566.8957,127,,,,,,,,
1,多行文字,-267569.467,-203566.8957,126,,,,,,,,
1,多行文字,-267309.467,-203236.8957,104,,,,,,,,
1,多行文字,-267569.467,-203236.8957,103,,,,,,,,
